currency,rate,extracted_at,source
RSD,99.95486,2025-12-17 21:39:38.574285,API
RUB,80.500705,2025-12-17 21:39:38.574285,API
RWF,1450.0,2025-12-17 21:39:38.574285,API
SAR,3.750904,2025-12-17 21:39:38.574285,API
SBD,8.146673,2025-12-17 21:39:38.574285,API
SCR,14.469904,2025-12-17 21:39:38.574285,API
SDG,601.5,2025-12-17 21:39:38.574285,API
SEK,9.300558,2025-12-17 21:39:38.574285,API
SGD,1.291462,2025-12-17 21:39:38.574285,API
SHP,0.747608,2025-12-17 21:39:38.574285,API
SLE,24.1,2025-12-17 21:39:38.574285,API
SLL,20969.5,2025-12-17 21:39:38.574285,API
SOS,571.5,2025-12-17 21:39:38.574285,API
SRD,38.678,2025-12-17 21:39:38.574285,API
SSP,130.26,2025-12-17 21:39:38.574285,API
STD,22281.8,2025-12-17 21:39:38.574285,API
STN,21.175,2025-12-17 21:39:38.574285,API
SVC,8.744522,2025-12-17 21:39:38.574285,API
SYP,13002.0,2025-12-17 21:39:38.574285,API
SZL,16.745,2025-12-17 21:39:38.574285,API
THB,31.470339,2025-12-17 21:39:38.574285,API
TJS,9.202605,2025-12-17 21:39:38.574285,API
TMT,3.5,2025-12-17 21:39:38.574285,API
TND,2.90375,2025-12-17 21:39:38.574285,API
TOP,2.40776,2025-12-17 21:39:38.574285,API
TRY,42.7225,2025-12-17 21:39:38.574285,API
TTD,6.779097,2025-12-17 21:39:38.574285,API
TWD,31.496498,2025-12-17 21:39:38.574285,API
TZS,2468.951,2025-12-17 21:39:38.574285,API
UAH,42.230356,2025-12-17 21:39:38.574285,API
UGX,3562.362661,2025-12-17 21:39:38.574285,API
USD,1.0,2025-12-17 21:39:38.574285,API
UYU,39.18363,2025-12-17 21:39:38.574285,API
UZS,12075.0,2025-12-17 21:39:38.574285,API
VES,276.231259,2025-12-17 21:39:38.574285,API
VND,26333.114347,2025-12-17 21:39:38.574285,API
VUV,122.16,2025-12-17 21:39:38.574285,API
WST,2.816,2025-12-17 21:39:38.574285,API
XAF,558.538037,2025-12-17 21:39:38.574285,API
XAG,0.01508648,2025-12-17 21:39:38.574285,API
XAU,0.00023062,2025-12-17 21:39:38.574285,API
XCD,2.70255,2025-12-17 21:39:38.574285,API
XCG,1.801112,2025-12-17 21:39:38.574285,API
XDR,0.694475,2025-12-17 21:39:38.574285,API
XOF,558.538037,2025-12-17 21:39:38.574285,API
XPD,0.00059623,2025-12-17 21:39:38.574285,API
XPF,101.609278,2025-12-17 21:39:38.574285,API
XPT,0.00052288,2025-12-17 21:39:38.574285,API
YER,238.350012,2025-12-17 21:39:38.574285,API
ZAR,16.78915,2025-12-17 21:39:38.574285,API
ZMW,22.909742,2025-12-17 21:39:38.574285,API
ZWG,26.407,2025-12-17 21:39:38.574285,API
ZWL,322.0,2025-12-17 21:39:38.574285,API
